"CITY","x","y","Size"
"RAMAT HASHARON",32.137793,34.840278,2
"ORA",31.752109,35.150165,3
"BET HILLEL",33.208782,35.606515,1
"MEVASSERET ZIYYON",31.804052,35.157891,2
"GAN YAVNE",31.783056,34.703101,3
"ALLON SHEVUT",31.654871,35.125256,4
"LOD",31.951014,34.888075,5
"REVIVIM",31.045195,34.721086,1
"MIGDAL",32.839494,35.499849,3
"AVIGEDOR",31.711901,34.740369,5
"DOR",32.607802,34.923316,4
"SEGULA",31.6695459999999,34.778426,1
"NOF HAGALIL",32.711539,35.324812,1
"HOD HASHARON",32.149961,34.8838788,2
"SEDOT YAM",32.492613,34.89315,2
"YA'AD",32.881225,35.24064,1
"KARMI'EL",32.914671,35.292417,9
"MANOF",32.853258,35.237355,1
"YUVALIM",32.878163,35.269294,2
"GANNE TIQWA",32.060497,34.873121,3
"SAVYON",32.045589,34.8765779999999,2
"YUVAL",33.246577,35.597063,1
"BAREQET",32.018344,34.943179,1
"NES ZIYYONA",31.932111,34.801327,1
"QIRYAT EQRON",31.862547,34.8219576,1
"MAZKERET BATYA",31.853167,34.842421,1
"ZUFIN",32.197318,35.008912,3
"MEHOLA",32.365285,35.51602,1
"GIV'ATAYIM",32.072176,34.808871,3
"HERUT",32.240973,34.914127,1
"MEGADIM",32.727734,34.960923,1
"QIRYAT ARBA",31.529326,35.115625,2
"AKKO",32.933052,35.082678,5
"QIRYAT MOTZKIN",32.838202,35.079523,2
"SHILAT",31.921173,35.014572,1
"ALMA",33.05186,35.499636,1
"NAZARETH",32.699635,35.303546,6
"KAFAR KANNA",32.7481978,35.3438402,2
"HEVER",32.549097,35.264911,1
"ARI'EL",32.104637,35.1745139999999,1
"MIZPE RAMON",30.610203,34.801898,2
"RAMLA",31.931566,34.872938,5
"MA'ALE ADUMMIM",31.777369,35.297955,11
"RAQEFET",32.654132,35.077983,2
"AMAZYA",31.531176,34.914463,7
"NEIN",32.630986,35.349399,1
"GESHER",32.621205,35.550376,2
"ETAN",31.572213,34.747909,1
"NAVE",31.162183,34.329827,1
"YIRKA",32.953492,35.21199,8
"DALIYYA",32.58925,35.076965,1
"QIRYAT ONO",32.054863,34.858858,3
"IRUS",31.9285746,34.7766539,1
